coupler_frequency_ghz,static_zz_khz
# Source: Collodo et al., Phys. Rev. Lett. 125, 240502 (2020), Fig. 2(a).
# Dataset: https://doi.org/10.3929/ethz-b-000502238 (CC BY 4.0).
# The source header says Hz, but its values align with the published kHz axis and measured kHz data; stored here as kHz.
8.021135338949016,-92.0673012
8.000265205905063,-86.745576
7.9790785521289305,-81.8367127
7.9575753833922045,-77.3628381
7.935755721088075,-73.3479988
7.913619603734207,-69.8183203
7.8911670885927565,-66.8021798
7.868398253420511,-64.3303974
7.845313198360247,-62.4364483
7.821912047983641,-61.1566949
7.798194953503129,-60.5306452
7.774162095158594,-60.6012369
7.7498136848082355,-61.4151536
7.7251499687269405,-63.0231751
7.700171230641739,-65.4805636
7.674877795020897,-68.8474978
7.649270030640935,-73.1895503
7.62334835445859,-78.5782241
7.597113235814828,-85.0915478
7.570565201005422,-92.8147416
7.543704838249139,-101.840963
7.516532803098075,-112.272144
7.489049824327855,-124.219923
7.461256710363756,-137.806703
7.433154356290014,-153.166836
7.40474375150679,-170.447963
7.376025988103192,-189.812523
7.347002270021509,-211.439469
7.317673923097561,-235.526206
7.288042406077885,-262.290806
7.258109322718969,-291.974517
7.2278764350927425,-324.844641
7.197345678239864,-361.19782
7.166519176329343,-401.363803
7.135399260501118,-445.709789
7.103988488603314,-494.645421
7.07228966705611,-548.628567
7.040305875111084,-608.172016
7.008040491814555,-673.851266
6.975497226034159,-746.313603
6.942680149953195,-826.288715
6.909593736508845,-914.601157
6.87624290131963,-1012.18501
6.84263304974151,-1120.10123
6.808770129787956,-1239.55815
6.774660691776397,-1371.93601
6.740311955707662,-1518.81614
6.705731887552338,-1682.01601
6.670929285823728,-1863.63158
6.6359138800484505,-2066.08834
6.6006964430358135,-2292.20362
6.565288919168412,-2545.26249
6.529704571325206,-2829.11108
6.493958149504971,-3148.27162
6.458066084727095,-3508.08512
6.4220467123880125,-3914.88912
6.38592052990634,-4376.24036
6.349710494202055,-4901.195
6.3134423653029454,-5500.663
6.277145103050347,-6187.85813
6.240851324428491,-6978.87178
6.2045978292292325,-7893.40645
6.168426201301818,-8955.71499
6.132383491029217,-10195.8028
6.096522981160158,-11650.9615
6.060905031614682,-13367.7118
6.025597987774063,-15404.2309
5.990679118941302,-17833.3149
5.956235526504122,-20745.8547
5.9223649220436885,-24254.6386
5.88917612229514,-28497.9806
5.856789041352311,-33642.1392
5.825333888132895,-39880.6996
5.79494921747741,-47428.1659
