bias_z,frequency_ghz,mean_centered_abs_response
# Source: Zhang et al., Phys. Rev. Applied 24, 034003 (2025), Fig. 2 data.
# Dataset: https://doi.org/10.5281/zenodo.16791932 (CC BY 4.0).
# Modified: file-wise mean subtraction, absolute value, and restriction to the two comparison windows.
0.57,4.875000,9.82110833468
0.57,4.870000,17.1242125359
0.57,4.865000,18.7456166753
0.57,4.860000,16.3135862448
0.57,4.855000,14.8404807076
0.57,4.850000,22.3232556446
0.57,4.845000,21.5616466168
0.57,4.840000,30.2833131598
0.57,4.835000,35.2628292608
0.57,4.830000,27.1228251431
0.57,4.825000,33.3710857428
0.57,4.820000,41.7999898938
0.57,4.815000,42.0545964428
0.57,4.810000,50.8905144848
0.57,4.805000,51.8791178478
0.57,4.800000,48.8351014008
0.57,4.800000,5.04476904158
0.57,4.795000,4.57493994958
0.57,4.790000,1.20493767318
0.57,4.785000,1.91672479802
0.57,4.780000,11.0169076273
0.57,4.780000,6.00417742574
0.57,4.775000,6.08558298574
0.57,4.770000,7.17372589994
0.57,4.765000,5.67989448264
0.57,4.760000,2.41713818874
0.57,4.755000,0.06609032536
0.57,4.750000,13.2036577155
0.57,4.745000,46.4107108753
0.57,4.740000,32.6131085803
0.57,4.735000,14.3240333362
0.57,4.730000,3.52920677124
0.57,4.725000,8.57528161744
0.57,4.720000,10.1429652508
0.57,4.715000,9.10555339694
0.57,4.710000,8.35317536824
0.57,4.710000,9.11072917193
0.57,4.705000,9.75642657203
0.57,4.700000,10.3164479314
0.57,4.695000,7.27829863483
0.57,4.690000,8.65042685173
0.57,4.685000,11.0093171532
0.57,4.680000,6.08951968143
0.57,4.675000,7.56324210633
0.57,4.670000,4.05458706513
0.57,4.665000,10.0748123646
0.57,4.660000,10.4273963438
0.57,4.655000,7.89284932593
0.57,4.655000,4.22093434238
0.57,4.650000,2.68800113462
0.57,4.645000,3.00962914468
0.57,4.640000,20.3572475217
0.57,4.635000,87.5664221698
0.57,4.630000,12.2111317183
0.57,4.625000,23.5064778279
0.57,4.620000,9.07306001542
0.57,4.615000,5.61100058782
0.57,4.610000,8.78743497512
0.57,4.605000,4.57216399042
0.57,4.600000,8.92846199302
0.57,4.595000,8.09177289302
0.57,4.590000,6.70763956372
0.57,4.585000,5.55956371622
0.57,4.580000,20.1320428671
0.57,4.575000,41.4267486778
0.57,4.570000,75.0286252568
0.57,4.565000,11.886111924
0.57,4.560000,2.60494000892
0.57,4.555000,2.34762991158
0.57,4.550000,1.22755379802
0.57,4.545000,0.892632134079
0.57,4.540000,0.312408754921
0.57,4.535000,3.63242203878
0.57,4.530000,4.46682017408
0.57,4.525000,2.68270006568
0.57,4.520000,3.24445617298
0.57,4.515000,2.23200432012
0.57,4.510000,3.04393526678
0.57,4.505000,0.216907035379
0.57,4.500000,6.36200409358
0.57,4.495000,5.23689291578
0.57,4.490000,3.71267477968
0.57,4.485000,1.61566962428
0.57,4.480000,5.94628238108
0.57,4.475000,2.00988887998
0.57,4.470000,0.250552443779
0.57,4.465000,2.09089863978
0.57,4.460000,2.52326038258
0.57,4.455000,2.26083655798
0.57,4.450000,4.47884778058
0.57,4.445000,4.10809218738
0.57,4.440000,3.88579780958
0.57,4.435000,1.62218211588
0.57,4.430000,0.753755713821
0.57,4.425000,6.23630729668
0.57,4.420000,2.40124243198
0.57,4.415000,2.22330949928
0.57,4.410000,2.34607590288
0.57,4.405000,1.59324730308
0.57,4.400000,3.24419458812
